function: pcfg-pull-up, groups = [ ]
function: pcfg-pull-down, groups = [ ]
function: pcfg-pull-none, groups = [ ]
function: pcfg-pull-none-2ma, groups = [ ]
function: pcfg-pull-up-2ma, groups = [ ]
function: pcfg-pull-up-4ma, groups = [ ]
function: pcfg-pull-none-4ma, groups = [ ]
function: pcfg-pull-down-4ma, groups = [ ]
function: pcfg-pull-none-8ma, groups = [ ]
function: pcfg-pull-up-8ma, groups = [ ]
function: pcfg-pull-none-12ma, groups = [ ]
function: pcfg-pull-up-12ma, groups = [ ]
function: pcfg-pull-none-smt, groups = [ ]
function: pcfg-output-high, groups = [ ]
function: pcfg-output-low, groups = [ ]
function: pcfg-input-high, groups = [ ]
function: pcfg-input, groups = [ ]
function: can-m0, groups = [ canm0-pins ]
function: can-m1, groups = [ canm1-pins ]
function: can-m2, groups = [ canm2-pins ]
function: emmc, groups = [ emmc-clk emmc-cmd emmc-pwren emmc-rstn emmc-bus1 emmc-bus4 emmc-bus8 ]
function: ext_micbias, groups = [ ext-micbias-en ]
function: flash, groups = [ flash-csn0 flash-rdy flash-ale flash-cle flash-wrn flash-rdn flash-bus8 ]
function: gmac, groups = [ rmii-pins mac-refclk-12ma mac-refclk ]
function: gmac-m1, groups = [ rmiim1-pins macm1-refclk-12ma macm1-refclk ]
function: i2c0, groups = [ i2c0-xfer ]
function: i2c1, groups = [ i2c1-xfer ]
function: i2c2, groups = [ i2c2-xfer ]
function: i2c3-m0, groups = [ i2c3m0-xfer ]
function: i2c3-m1, groups = [ i2c3m1-xfer ]
function: i2c3-m2, groups = [ i2c3m2-xfer ]
function: i2s_2ch_0, groups = [ i2s-2ch-0-mclk i2s-2ch-0-sclk i2s-2ch-0-lrck i2s-2ch-0-sdo i2s-2ch-0-sdi ]
function: i2s_8ch_0, groups = [ i2s-8ch-0-mclk i2s-8ch-0-sclktx i2s-8ch-0-sclkrx i2s-8ch-0-lrcktx i2s-8ch-0-lrckrx i2s-8ch-0-sdo0 i2s-8ch-0-sdo1 i2s-8ch-0-sdo2 i2s-8ch-0-sdo3 i2s-8ch-0-sdi0 i2s-8ch-0-sdi1 i2s-8ch-0-sdi2 i2s-8ch-0-sdi3 ]
function: i2s_8ch_1_m0, groups = [ i2s-8ch-1-m0-mclk i2s-8ch-1-m0-sclktx i2s-8ch-1-m0-sclkrx i2s-8ch-1-m0-lrcktx i2s-8ch-1-m0-lrckrx i2s-8ch-1-m0-sdo0 i2s-8ch-1-m0-sdo1-sdi3 i2s-8ch-1-m0-sdo2-sdi2 i2s-8ch-1-m0-sdo3_sdi1 i2s-8ch-1-m0-sdi0 ]
function: i2s_8ch_1_m1, groups = [ i2s-8ch-1-m1-mclk i2s-8ch-1-m1-sclktx i2s-8ch-1-m1-sclkrx i2s-8ch-1-m1-lrcktx i2s-8ch-1-m1-lrckrx i2s-8ch-1-m1-sdo0 i2s-8ch-1-m1-sdo1-sdi3 i2s-8ch-1-m1-sdo2-sdi2 i2s-8ch-1-m1-sdo3_sdi1 i2s-8ch-1-m1-sdi0 ]
function: lcdc, groups = [ lcdc-ctl lcdc-rgb888-m0 lcdc-rgb888-m1 ]
function: owire-m0, groups = [ owirem0-pins ]
function: owire-m1, groups = [ owirem1-pins ]
function: owire-m2, groups = [ owirem2-pins ]
function: pdm_m0, groups = [ pdm-m0-clk pdm-m0-sdi0 pdm-m0-sdi1 pdm-m0-sdi2 pdm-m0-sdi3 ]
function: pdm_m1, groups = [ pdm-m1-clk pdm-m1-sdi0 pdm-m1-sdi1 pdm-m1-sdi2 pdm-m1-sdi3 ]
function: pdm_m2, groups = [ pdm-m2-clkm pdm-m2-clk pdm-m2-sdi0 pdm-m2-sdi1 pdm-m2-sdi2 pdm-m2-sdi3 ]
function: pwm0, groups = [ pwm0-pin pwm0-pin-pull-down ]
function: pwm1, groups = [ pwm1-pin pwm1-pin-pull-down ]
function: pwm2, groups = [ pwm2-pin pwm2-pin-pull-down ]
function: pwm3, groups = [ pwm3-pin pwm3-pin-pull-down ]
function: pwm4, groups = [ pwm4-pin pwm4-pin-pull-down ]
function: pwm5, groups = [ pwm5-pin pwm5-pin-pull-down ]
function: pwm6, groups = [ pwm6-pin pwm6-pin-pull-down ]
function: pwm7, groups = [ pwm7-pin pwm7-pin-pull-down ]
function: pwm8, groups = [ pwm8-pin pwm8-pin-pull-down ]
function: pwm9, groups = [ pwm9-pin pwm9-pin-pull-down ]
function: pwm10, groups = [ pwm10-pin pwm10-pin-pull-down ]
function: pwm11, groups = [ pwm11-pin pwm11-pin-pull-down ]
function: rtc, groups = [ rtc-32k ]
function: sdmmc, groups = [ sdmmc-clk sdmmc-cmd sdmmc-det sdmmc-pwren sdmmc-bus1 sdmmc-bus4 sdmmc-gpio ]
function: sdio, groups = [ sdio-clk sdio-cmd sdio-pwren sdio-wrpt sdio-intn sdio-bus1 sdio-bus4 sdio-gpio ]
function: spdif_in, groups = [ spdif-in ]
function: spdif_out, groups = [ spdif-out ]
function: spi0, groups = [ spi0-clk spi0-csn0 spi0-miso spi0-mosi spi0-clk-hs spi0-miso-hs spi0-mosi-hs ]
function: spi1, groups = [ spi1-clk spi1-csn0 spi1-miso spi1-mosi spi1-clk-hs spi1-miso-hs spi1-mosi-hs ]
function: spi1-m1, groups = [ spi1m1-miso spi1m1-mosi spi1m1-clk spi1m1-csn0 spi1m1-miso-hs spi1m1-mosi-hs spi1m1-clk-hs spi1m1-csn0-hs ]
function: spi2, groups = [ spi2-clk spi2-csn0 spi2-miso spi2-mosi spi2-clk-hs spi2-miso-hs spi2-mosi-hs ]
function: tsadc, groups = [ tsadc-otp-pin tsadc-otp-out ]
function: uart0, groups = [ uart0-xfer uart0-cts uart0-rts uart0-rts-pin ]
function: uart1, groups = [ uart1-xfer uart1-cts uart1-rts ]
function: uart2-m0, groups = [ uart2m0-xfer ]
function: uart2-m1, groups = [ uart2m1-xfer ]
function: uart3, groups = [ uart3-xfer ]
function: uart3-m1, groups = [ uart3m1-xfer ]
function: uart4, groups = [ uart4-xfer uart4-cts uart4-rts uart4-rts-pin ]
function: pcfg-pull-none-0-4ma, groups = [ ]
function: pcfg-pull-none-0-4ma-smt, groups = [ ]
function: pcfg-pull-up-0-4ma, groups = [ ]
function: pcfg-pull-down-0-4ma, groups = [ ]
function: pcfg-pull-none-0-6ma, groups = [ ]
function: pcfg-pull-up-0-6ma, groups = [ ]
function: pcfg-pull-down-0-6ma, groups = [ ]
function: pcfg-pull-none-4-6ma, groups = [ ]
function: pcfg-pull-up-4-6ma, groups = [ ]
function: pcfg-pull-down-4-6ma, groups = [ ]
function: pcfg-pull-none-8-6ma, groups = [ ]
function: pcfg-pull-up-8-6ma, groups = [ ]
function: pcfg-pull-down-8-6ma, groups = [ ]
function: pcfg-pull-none-8-4ma, groups = [ ]
function: pcfg-pull-up-8-4ma, groups = [ ]
function: pcfg-pull-down-8-4ma, groups = [ ]
function: pcfg-pull-none-12-4ma, groups = [ ]
function: pcfg-pull-up-12-4ma, groups = [ ]
function: pcfg-pull-down-12-4ma, groups = [ ]
function: pcfg-pull-none-12-6ma, groups = [ ]
function: pcfg-pull-up-12-6ma, groups = [ ]
function: pcfg-pull-down-12-6ma, groups = [ ]
function: usb, groups = [ usb-drv ]
function: sdio-pwrseq, groups = [ wifi-enable-h ]
function: wireless-bluetooth, groups = [ uart0-gpios ]
function: wireless-wlan, groups = [ wifi-wake-host ]
function: leds, groups = [ green-led-gpio heartbeat-led-gpio ]
function: spi1_cs0, groups = [ pinctrl_spi1_cs0 ]
function: pmic, groups = [ pmic-int-l ]
