registered pins: 160
pin 0 (gpio0-0) 0:gpio0 
pin 1 (gpio0-1) 1:gpio0 
pin 2 (gpio0-2) 2:gpio0 
pin 3 (gpio0-3) 3:gpio0 
pin 4 (gpio0-4) 4:gpio0 
pin 5 (gpio0-5) 5:gpio0 
pin 6 (gpio0-6) 6:gpio0 
pin 7 (gpio0-7) 7:gpio0 
pin 8 (gpio0-8) 8:gpio0 
pin 9 (gpio0-9) 9:gpio0 
pin 10 (gpio0-10) 10:gpio0 
pin 11 (gpio0-11) 11:gpio0 
pin 12 (gpio0-12) 12:gpio0 
pin 13 (gpio0-13) 13:gpio0 
pin 14 (gpio0-14) 14:gpio0 
pin 15 (gpio0-15) 15:gpio0 
pin 16 (gpio0-16) 16:gpio0 
pin 17 (gpio0-17) 17:gpio0 
pin 18 (gpio0-18) 18:gpio0 
pin 19 (gpio0-19) 19:gpio0 
pin 20 (gpio0-20) 20:gpio0 
pin 21 (gpio0-21) 21:gpio0 
pin 22 (gpio0-22) 22:gpio0 
pin 23 (gpio0-23) 23:gpio0 
pin 24 (gpio0-24) 24:gpio0 
pin 25 (gpio0-25) 25:gpio0 
pin 26 (gpio0-26) 26:gpio0 
pin 27 (gpio0-27) 27:gpio0 
pin 28 (gpio0-28) 28:gpio0 
pin 29 (gpio0-29) 29:gpio0 
pin 30 (gpio0-30) 30:gpio0 
pin 31 (gpio0-31) 31:gpio0 
pin 32 (gpio1-0) 0:gpio1 
pin 33 (gpio1-1) 1:gpio1 
pin 34 (gpio1-2) 2:gpio1 
pin 35 (gpio1-3) 3:gpio1 
pin 36 (gpio1-4) 4:gpio1 
pin 37 (gpio1-5) 5:gpio1 
pin 38 (gpio1-6) 6:gpio1 
pin 39 (gpio1-7) 7:gpio1 
pin 40 (gpio1-8) 8:gpio1 
pin 41 (gpio1-9) 9:gpio1 
pin 42 (gpio1-10) 10:gpio1 
pin 43 (gpio1-11) 11:gpio1 
pin 44 (gpio1-12) 12:gpio1 
pin 45 (gpio1-13) 13:gpio1 
pin 46 (gpio1-14) 14:gpio1 
pin 47 (gpio1-15) 15:gpio1 
pin 48 (gpio1-16) 16:gpio1 
pin 49 (gpio1-17) 17:gpio1 
pin 50 (gpio1-18) 18:gpio1 
pin 51 (gpio1-19) 19:gpio1 
pin 52 (gpio1-20) 20:gpio1 
pin 53 (gpio1-21) 21:gpio1 
pin 54 (gpio1-22) 22:gpio1 
pin 55 (gpio1-23) 23:gpio1 
pin 56 (gpio1-24) 24:gpio1 
pin 57 (gpio1-25) 25:gpio1 
pin 58 (gpio1-26) 26:gpio1 
pin 59 (gpio1-27) 27:gpio1 
pin 60 (gpio1-28) 28:gpio1 
pin 61 (gpio1-29) 29:gpio1 
pin 62 (gpio1-30) 30:gpio1 
pin 63 (gpio1-31) 31:gpio1 
pin 64 (gpio2-0) 0:gpio2 
pin 65 (gpio2-1) 1:gpio2 
pin 66 (gpio2-2) 2:gpio2 
pin 67 (gpio2-3) 3:gpio2 
pin 68 (gpio2-4) 4:gpio2 
pin 69 (gpio2-5) 5:gpio2 
pin 70 (gpio2-6) 6:gpio2 
pin 71 (gpio2-7) 7:gpio2 
pin 72 (gpio2-8) 8:gpio2 
pin 73 (gpio2-9) 9:gpio2 
pin 74 (gpio2-10) 10:gpio2 
pin 75 (gpio2-11) 11:gpio2 
pin 76 (gpio2-12) 12:gpio2 
pin 77 (gpio2-13) 13:gpio2 
pin 78 (gpio2-14) 14:gpio2 
pin 79 (gpio2-15) 15:gpio2 
pin 80 (gpio2-16) 16:gpio2 
pin 81 (gpio2-17) 17:gpio2 
pin 82 (gpio2-18) 18:gpio2 
pin 83 (gpio2-19) 19:gpio2 
pin 84 (gpio2-20) 20:gpio2 
pin 85 (gpio2-21) 21:gpio2 
pin 86 (gpio2-22) 22:gpio2 
pin 87 (gpio2-23) 23:gpio2 
pin 88 (gpio2-24) 24:gpio2 
pin 89 (gpio2-25) 25:gpio2 
pin 90 (gpio2-26) 26:gpio2 
pin 91 (gpio2-27) 27:gpio2 
pin 92 (gpio2-28) 28:gpio2 
pin 93 (gpio2-29) 29:gpio2 
pin 94 (gpio2-30) 30:gpio2 
pin 95 (gpio2-31) 31:gpio2 
pin 96 (gpio3-0) 0:gpio3 
pin 97 (gpio3-1) 1:gpio3 
pin 98 (gpio3-2) 2:gpio3 
pin 99 (gpio3-3) 3:gpio3 
pin 100 (gpio3-4) 4:gpio3 
pin 101 (gpio3-5) 5:gpio3 
pin 102 (gpio3-6) 6:gpio3 
pin 103 (gpio3-7) 7:gpio3 
pin 104 (gpio3-8) 8:gpio3 
pin 105 (gpio3-9) 9:gpio3 
pin 106 (gpio3-10) 10:gpio3 
pin 107 (gpio3-11) 11:gpio3 
pin 108 (gpio3-12) 12:gpio3 
pin 109 (gpio3-13) 13:gpio3 
pin 110 (gpio3-14) 14:gpio3 
pin 111 (gpio3-15) 15:gpio3 
pin 112 (gpio3-16) 16:gpio3 
pin 113 (gpio3-17) 17:gpio3 
pin 114 (gpio3-18) 18:gpio3 
pin 115 (gpio3-19) 19:gpio3 
