MemTotal:         498748 kB
MemFree:           45900 kB
MemAvailable:     366104 kB
Buffers:           75788 kB
Cached:           234264 kB
SwapCached:            0 kB
Active:           165768 kB
Inactive:         230236 kB
Active(anon):        508 kB
Inactive(anon):    87916 kB
Active(file):     165260 kB
Inactive(file):   142320 kB
Unevictable:        2184 kB
Mlocked:            2184 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:               272 kB
Writeback:             0 kB
AnonPages:         88196 kB
Mapped:            56588 kB
Shmem:               728 kB
KReclaimable:      23860 kB
Slab:              42884 kB
SReclaimable:      23860 kB
SUnreclaim:        19024 kB
KernelStack:        2560 kB
PageTables:         2912 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:      249372 kB
Committed_AS:     786508 kB
VmallocTotal:   263061440 kB
VmallocUsed:        4952 kB
VmallocChunk:          0 kB
Percpu:              448 kB
CmaTotal:          32768 kB
CmaAllocated:        768 kB
CmaReleased:       32000 kB
CmaFree:              56 kB
