    PID    PPID CMD                         %MEM %CPU
    887       1 /home/mks/moonraker-env/bin  8.2  6.3
    856       1 /home/mks/klippy-env/bin/py  5.9  2.4
   3935    3913 /usr/bin/pulseaudio --daemo  4.8  0.2
    927     900 /home/mks/ws/build/mksclien  3.6  9.9
    520       1 /usr/libexec/udisks2/udisks  2.0  0.0
      1       0 /sbin/init                   1.9  0.6
   3913       1 /lib/systemd/systemd --user  1.6  0.1
   1372       1 /sbin/wpa_supplicant -c/etc  1.6  5.1
    935       1 /usr/libexec/polkitd --no-d  1.6  0.0
    513       1 /lib/systemd/systemd-logind  1.3  0.1
   1042       1 sshd: /usr/sbin/sshd -D [li  1.3  0.0
    167       1 /lib/systemd/systemd-journa  1.2  0.2
   3951       1 /usr/libexec/bluetooth/blue  1.1  0.0
    212       1 /lib/systemd/systemd-udevd   0.9  0.1
   4535    3941 sudo -i                      0.8  0.0
   1109       1 /bin/login -p --             0.8  0.1
    427       1 /usr/bin/dbus-daemon --syst  0.8  0.2
    979       1 /usr/sbin/ntpd -p /var/run/  0.7  0.0
   4541    4535 -bash                        0.7  0.0
    492       1 /usr/sbin/rsyslogd -n -iNON  0.7  0.1
   3941    1109 -bash                        0.7  0.0
   1071    1068 nginx: worker process        0.6  0.0
   1072    1068 nginx: worker process        0.6  0.0
   1074    1068 nginx: worker process        0.6  0.0
   1077    1068 nginx: worker process        0.6  0.0
   6824    4541 /bin/bash ./audit.sh         0.6  0.4
    863       1 bash /root/mcu-id.sh         0.6  0.3
    877       1 bash /root/auto-webcam-id.s  0.6  0.5
    900       1 bash /home/mks/ws/start.sh   0.5  0.0
   3917    3913 (sd-pam)                     0.5  0.0
   6903    6824 ps -eo pid,ppid,cmd,%mem,%c  0.5  0.0
   1068       1 nginx: master process /usr/  0.5  0.0
    471       1 /usr/local/bin/klipper_mcu   0.3  0.2
    511       1 /usr/sbin/dhcpcd             0.3  0.0
    460       1 /usr/sbin/irqbalance --fore  0.2  0.0
    411       1 /usr/sbin/acpid              0.0  0.0
   6898     877 sleep 1                      0.0  0.0
   6900     863 sleep 1                      0.0  0.0
   1106       1 /usr/sbin/xl2tpd             0.0  0.0
      2       0 [kthreadd]                   0.0  0.0
